==== This output can be found in Systems/dx986/os/lscfg.txt ====
==== START lscfg Tue Jul  7 00:45:13 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk451         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L46000000000000  EMC Symmetrix FCP VRAID
* hdisk560         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L47000000000000  EMC Symmetrix FCP VRAID
* hdisk561         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L48000000000000  EMC Symmetrix FCP VRAID
* hdisk562         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L49000000000000  EMC Symmetrix FCP VRAID
* hdisk563         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L4A000000000000  EMC Symmetrix FCP VRAID
* hdisk564         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L4B000000000000  EMC Symmetrix FCP VRAID
* hdisk565         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L4C000000000000  EMC Symmetrix FCP VRAID
* hdisk566         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L4D000000000000  EMC Symmetrix FCP VRAID
* hdisk567         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L4E000000000000  EMC Symmetrix FCP VRAID
* hdisk568         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L4F000000000000  EMC Symmetrix FCP VRAID
* hdisk569         U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L50000000000000  EMC Symmetrix FCP VRAID
* hdisk570         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L47000000000000  EMC Symmetrix FCP VRAID
* hdisk571         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L48000000000000  EMC Symmetrix FCP VRAID
