==== This output can be found in Systems/dx986/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:45:13 GST 2015 ====

System configuration: lcpu=32 drives=710 ent=3.60 paths=0 vdisks=10 maxserver=960

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     16.4  0.0   177     0    131072            11.9   4.7   80.2      3.2   0.9   25.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk450         0.0       0.0       0.0          4         0
hdisk438         0.0       0.0       0.0          4         0
hdisk570         0.0       0.0       0.0      51739         0
hdisk451         0.0       0.0       0.0          4         0
hdisk573         0.0       0.0       0.0          4         0
hdisk441         0.0       0.0       0.0        196         0
hdisk574         0.0       0.0       0.0          4         0
hdisk449         0.0       0.0       0.0          4         0
hdisk572         0.0       0.0       0.0          4         0
hdisk576         0.0       0.0       0.0          4     18212
hdisk579         0.0       0.0       0.0          4         0
hdisk575         0.0       0.0       0.0          4         0
hdisk578         0.0       0.0       0.0          4         0
hdisk577         0.0       0.0       0.0          4         0
hdisk446         0.0       0.0       0.0         12         0
hdisk963         0.1      57.3       0.1   417671383   4659400
hdisk965         0.1      56.7       0.1   413089366   4598620
hdisk964         0.1      57.7       0.1   420709184   4590992

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk824         0.0       0.0       0.0          8         0
hdisk571         0.0       0.0       0.0          4         0
hdisk966         0.1      56.5       0.1   412020205   4578424
hdisk967         0.1      58.4       0.1   425733682   4730016
hdisk0           0.0       0.0       0.0          0         0
hdisk973         0.1      57.2       0.1   416775581   4683064
hdisk969         0.1      59.0       0.1   430136883   4619892
hdisk968         0.1      59.0       0.1   429975475   4857980
hdisk962         0.0       0.0       0.0          8         0
hdisk972         0.1      58.4       0.1   425732093   4817592
hdisk2           0.0       0.0       0.0          0         0
hdisk970         0.1      57.8       0.1   421603332   4784264
hdisk975         0.1      57.9       0.1   422207657   4754704
hdisk978         0.1      57.5       0.1   419235513   4680752
hdisk982         2.0     115.4       7.8   505595987  344910980
hdisk983         2.0     116.1       7.8   502542497  353273180
hdisk981         2.0     116.1       7.8   507788541  348019256
hdisk980         0.1      59.1       0.1   431344938   4639392
hdisk985         2.0     115.9       7.8   500705816  353571168
hdisk986         2.0     116.0       7.8   501142717  354051496
hdisk984         2.0     117.4       8.0   503754086  361801072
hdisk974         0.1      58.4       0.1   425545179   4766120
hdisk976         0.1      59.0       0.1   429932579   4674888
hdisk989         0.1      44.3       0.1   246687544  80073404

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk987         2.0     116.7       7.9   505410205  354765632
hdisk991         0.1      44.2       0.1   245669535  80151916
hdisk992         0.1      43.6       0.1   240726038  80589208
hdisk993         0.1      43.8       0.1   242192800  80381200
hdisk971         0.1      57.6       0.1   420008034   4703280
hdisk979         0.1      60.5       0.1   441682083   4524884
hdisk988         2.0     117.3       8.0   507849777  356718292
hdisk990         0.1      44.3       0.1   246083983  80805748
hdisk995         0.1      44.5       0.1   247665076  80280676
hdisk997         0.5     199.2       1.8   730823888  737555672
hdisk994         0.1      44.1       0.1   244919766  80484456
hdisk999         0.0      22.5       0.1   107945333  57914352
hdisk1000        0.0      22.5       0.1   108027288  57972632
hdisk998         0.5     199.3       1.8   730750894  738132080
hdisk1002        0.0       0.0       0.0          8      7136
hdisk977         0.1      58.9       0.1   429588122   4589904
hdisk828         0.1      52.4       0.1   381776331   4224984
hdisk829         0.1      54.1       0.1   394340585   4401480
hdisk826         0.1      53.3       0.1   388482023   4321136
hdisk1005        0.0       2.0       0.0   14694904    250984
hdisk1003        0.0       2.7       0.0   19582820    258920
hdisk1007        0.1      65.1       0.3   159952773  319904364
hdisk1001        0.0       0.0       0.0      18647      9108
hdisk1004        0.0       5.9       0.2   35556041   7768360

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk827         0.1      52.3       0.1   381491901   4250560
hdisk837         0.1      53.8       0.1   391847171   4435248
hdisk834         0.1      54.1       0.1   394226575   4550396
hdisk831         0.1      54.6       0.1   398485420   4310972
hdisk833         0.1      53.2       0.1   387741497   4370744
hdisk830         0.1      54.5       0.1   397551296   4522088
hdisk996         0.1      44.6       0.1   247977393  80682728
hdisk840         0.1      53.1       0.1   387375228   4309496
hdisk838         0.1      54.7       0.1   398609085   4322656
hdisk825         0.1      52.9       0.1   385642401   4352400
hdisk839         0.1      54.5       0.1   397520695   4243072
hdisk1006        0.1      65.4       0.3   160928006  321211277
hdisk832         0.1      53.4       0.1   389222128   4449764
hdisk836         0.1      53.8       0.1   392060113   4430224
hdisk843         2.0     106.8       7.2   464119133  323091848
hdisk848         2.0     106.8       7.2   458461307  328885288
hdisk847         2.0     106.9       7.2   459291614  328493476
hdisk845         2.0     106.8       7.2   459482877  327950428
hdisk841         0.1      55.9       0.1   408101451   4196272
hdisk844         2.0     106.3       7.2   463595381  320087460
hdisk835         0.1      53.0       0.1   385986925   4335768
hdisk853         0.1      42.4       0.1   235403630  77057736
hdisk855         0.1      41.9       0.1   231634167  77569408
hdisk856         0.1      42.3       0.1   234792209  77075308

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
