==== This output can be found in Systems/dx978/storage/for_i_in_lspv_awk_print_1_do_echo_i,_Disk_size_get.txt ====
==== START for i in $(lspv | awk '{print $1}') ;do echo "$i, Disk size: $(getconf DISK_SIZE /dev/$i), Disk partition: $(getconf DISK_PARTITION /dev/$i), Disk location: $(getconf DISK_DEVNAME $i)"; done Mon Jul  6 23:33:36 GST 2015 ====
hdisk300, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk301, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk302, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk303, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk304, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk305, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk306, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk307, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk308, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk309, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk310, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk311, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk312, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk313, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk314, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk315, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk316, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk317, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk318, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk319, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk320, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk321, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk322, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk323, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk324, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk325, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk326, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk327, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk328, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk329, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk330, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk331, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk332, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk333, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk334, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk335, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk336, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk337, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk338, Disk size: 524295, Disk partition: 1024, Disk location: 14-T1-01
hdisk339, Disk size: 204802, Disk partition: 256, Disk location: 14-T1-01
hdisk340, Disk size: 245760, Disk partition: 256, Disk location: 14-T1-01
hdisk341, Disk size: 245760, Disk partition: 256, Disk location: 14-T1-01
hdisk342, Disk size: 245760, Disk partition: 256, Disk location: 14-T1-01
hdisk343, Disk size: 10240, Disk partition: 16, Disk location: 14-T1-01
hdisk344, Disk size: 10240, Disk partition: 16, Disk location: 14-T1-01
hdisk345, Disk size: 10240, Disk partition: 16, Disk location: 14-T1-01
hdisk346, Disk size: 204802, Disk partition: 256, Disk location: 14-T1-01
hdisk347, Disk size: 102401, Disk partition: 128, Disk location: 14-T1-01
hdisk348, Disk size: 102401, Disk partition: 128, Disk location: 14-T1-01
hdisk349, Disk size: 25600, Disk partition: 32, Disk location: 14-T1-01
hdisk350, Disk size: 25600, Disk partition: 32, Disk location: 14-T1-01
