==== This output can be found in Systems/dx976/os/errpt.txt ====
==== START errpt Tue Jul  7 13:04:01 CDT 2015 ====
3767AAFF   0507220015 I H hdisk14        BACK-UP PATH INOPERATIVE
516A2BC4   0507220015 P H hdisk14        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk15        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk23        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk19        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk21        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk22        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk20        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk18        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk25        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk16        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk24        CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk17        CONNECTION FAILURE
3767AAFF   0507220015 I H hdisk127       BACK-UP PATH INOPERATIVE
516A2BC4   0507220015 P H hdisk127       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk128       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk136       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk132       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk134       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk138       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk133       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk135       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk131       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk130       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk137       CONNECTION FAILURE
516A2BC4   0507220015 P H hdisk129       CONNECTION FAILURE
D5676F6F   0507220015 T H fscsi6         ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0507220015 T H fscsi2         ATTACHED SCSI TARGET DEVICE ERROR
