==== This output can be found in Systems/dx979/os/lsdev-^C.txt ====
==== START lsdev -C Tue Jul  7 00:29:34 GST 2015 ====
hdisk87        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk88        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk89        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk90        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk91        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk92        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk93        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk94        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk95        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk96        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk97        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk98        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk99        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk100       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk101       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk102       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk103       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk104       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk105       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk106       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk107       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk108       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk109       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk110       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk111       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk112       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk113       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk114       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk115       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk116       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk117       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk118       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk119       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk120       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk121       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk122       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk123       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk124       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk125       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk126       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk127       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk128       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk129       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk130       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk131       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk132       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk133       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk134       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk135       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk136       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk137       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk138       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk139       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk140       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk141       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk142       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk143       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk144       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk145       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk146       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk147       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk148       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk149       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk150       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk151       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk152       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk153       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk154       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk155       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk156       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk157       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk158       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk159       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk160       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk161       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk162       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk163       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk164       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk165       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk166       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk167       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk168       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk169       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk170       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk171       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk172       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk173       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk174       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk175       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk176       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk177       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk178       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk179       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk180       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk181       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk182       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk183       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk184       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk185       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk186       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk187       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk188       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk189       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk190       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk191       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk192       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk193       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk194       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk195       Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk196       Available 27-T1-01    EMC Symmetrix FCP VRAID
