==== This output can be found in Systems/dx979/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:29:24 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      4.7  0.0   469     0    131072             2.3   1.0   94.4      2.3   0.3    5.1

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk8           0.2       1.2       0.1      19343  12747852
hdisk13          0.0       0.2       0.0    1179901    571020
hdisk420         0.0       1.1       0.0   11661266    459560
hdisk78          2.0     283.5       0.7   3088483255  12712060
hdisk18          0.0       8.0       0.0   87144329         4
hdisk149         2.1     339.2       0.8   3698475635  11890744
hdisk145         2.1     315.4       0.7   3437891547  12186288
hdisk147         2.0     290.3       0.7   3163618582  11995376
hdisk19          0.0       7.9       0.0   86803880     14904
hdisk152         2.0     281.3       0.7   3064724468  12544936
hdisk146         2.2     376.9       0.8   4111505114  11559756
hdisk153         2.1     314.5       0.8   3427326975  12628992
hdisk156         2.2     373.3       0.8   4070834541  12580560
hdisk151         2.1     319.5       0.8   3482430833  12656856
hdisk155         2.0     290.3       0.8   3162322196  12632840
hdisk160         1.3      20.9       1.2   132192394  96749952
hdisk154         2.2     347.8       0.8   3792221770  12627740
hdisk159         2.0     307.5       0.7   3351495095  12531876
hdisk157         2.3     422.9       0.8   4612583325  13348248
hdisk164         1.3      21.2       1.2   133896200  97879744

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk163         1.3      21.1       1.2   133012870  97504156
hdisk162         1.3      21.0       1.2   133808996  95711668
hdisk144         2.0     302.2       0.7   3293406791  12120860
hdisk158         2.4     467.0       0.9   5095526192  12610760
hdisk148         2.4     558.1       1.0   6093001098  11911412
hdisk150         1.9     254.6       0.7   2772780853  12064632
hdisk168         0.2      58.3       0.1   477296890  160188720
hdisk171         0.2      58.2       0.1   476908867  160019812
hdisk166         0.2      58.2       0.1   476032754  160442476
hdisk165         1.3      21.0       1.2   132412770  97350480
hdisk161         1.4      21.1       1.2   132821492  98482352
hdisk169         0.2      58.4       0.1   478720147  159797216
hdisk172         0.0       0.4       0.1     167149   3662080
hdisk177         0.2      20.3       0.2   109983437  112109404
hdisk170         0.2      58.5       0.1   479015015  160511352
hdisk176         0.2      20.3       0.2   109794319  111964424
hdisk175         0.0       0.0       0.0        809     15036
hdisk355         0.0       0.0       0.0      49405         4
hdisk358         0.0       0.0       0.0        834         0
hdisk167         0.2      58.2       0.1   476463705  160180224
hdisk173         0.0       0.3       0.0     155248   3170248
hdisk360         0.0       0.0       0.0        825         0
hdisk359         0.0       0.0       0.0        837         0
hdisk174         0.0       0.0       0.0      23936         4

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk361         0.0       0.0       0.0        845     14876
hdisk421         0.0       1.1       0.0   12000888    131232
hdisk423         0.0       1.1       0.0   11530647    457568
hdisk356         0.0       0.0       0.0        829         4
hdisk354         0.0       2.0       0.0   10864300  11208304
hdisk357         0.0       0.0       0.0        838         0
hdisk363         0.0       0.0       0.0        835         0
hdisk424         0.8      96.9       1.6   580395217  479231646
hdisk353         0.0       2.0       0.0   10670703  10920920
hdisk427         0.7      96.8       1.6   581573944  477772816
hdisk426         0.7      96.6       1.6   579234334  477881174
hdisk178         0.2       1.2       0.1      31545  12929324
hdisk452         0.0       0.0       0.0         26         0
hdisk425         0.8      96.5       1.6   577900100  477441703
hdisk362         0.0       0.0       0.0        835         0
hdisk180         0.1       0.1       0.0     625516    149073
hdisk453         0.0       0.0       0.0         26         0
