==== This output can be found in Systems/dx1010/perf/mpstat-a.txt ====
==== START mpstat -a Tue Jul  7 13:15:13 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd
 14  86961      0     33  13165 4425160736 429001475 71659534 11895221 725697 713299      0      0      0      0      0   2.0  98.0   0.0   0.1   0.0   0.0  33644   0.0  30.8   0.0  69.2  0.02   1.2      0 4455664558 100.0   0.0   0.0
 15  88904      1     34  13165 4192089351 407179263 71638772 10261376 723502 713449      0      0      0      0      0   1.7  98.3   0.0   0.1   0.0   0.0  40439   0.0  29.1   0.0  70.9  0.02   1.2      0 4227489728 100.0   0.0   0.0
 16 230830032  17387  62388  26816 4975561149 469811969 611520480 30121152 13213481913 11357957      1      1      9      0      0  99.2   0.0   0.0   0.8   0.0   0.0 611590851   0.9  69.6   0.0  29.5  0.05   2.6      0 16586177047 100.0   0.0   0.0
 17 334005   3294     25  13171 4734379169 453670212 74137833 12627810 2581594 729830      0      0      2      0      0  70.8  29.2   0.0   0.0   0.0   0.0 709890   0.0  32.5   0.0  67.5  0.03   1.3      0 4764148481 100.0   0.0   0.0
 18  90545      2     38  13165 4405218603 427323289 71659025 11827217 722739 713312      0      0      0      0      0   1.6  98.4   0.0   0.1   0.0   0.0  40970   0.0  30.6   0.0  69.4  0.02   1.2      0 4435747999 100.0   0.0   0.0
 19  75972      0     36  13165 4173316344 405637578 71635070 10199734 725330 712699      0      0      0      0      0   1.9  98.0   0.0   0.1   0.0   0.0  31421   0.0  28.9   0.0  71.1  0.02   1.2      0 4209021484 100.0   0.0   0.0
 20 229329568  18050  19036  28127 4977213169 469654333 616014649 29762998 13042582472 11845090      0      0      3      0      0  99.1   0.0   0.0   0.9   0.0   0.0 595510401   0.9  69.1   0.0  30.1  0.05   2.5      0 16432485696 100.0   0.0   0.0
 21 321460   1234     79  13195 4741832471 455260402 74228890 12606041 2642167 730560      0      0      0      0      0  71.3  28.7   0.0   0.0   0.0   0.0 437624   0.0  32.9   0.0  67.1  0.03   1.3      0 4771842491 100.0   0.0   0.0
 22  84233      0     27  13165 4421823146 428595312 71659958 11878044 721664 712584      0      0      0      0      0   1.4  98.5   0.0   0.1   0.0   0.0  33713   0.0  31.0   0.0  69.0  0.02   1.2      0 4452233734 100.0   0.0   0.0
 23  69253      0     26  13164 4190114415 406645541 71638100 10193708 727640 712827      0      0      0      0      0   2.2  97.7   0.0   0.1   0.0   0.0  44743   0.0  29.2   0.0  70.8  0.02   1.2      0 4225795057 100.0   0.0   0.0
  U      -      -      -      -      -      -      -      -      -      -      -      -      -      -      -     -     -     -     -     -     -      -     -     -   0.0  61.3  1.23  61.3      -      -     -     -     -
ALL 1412138797 124801 395819 395817 109876775334 11086567384 5744452559 389883560 79392262076 82779590      2      2     51      0      0  99.1   0.0   0.0   0.8   0.0   0.0 3707981986   0.1  18.0   0.0  81.8  0.77  38.7      0 180642564852 100.0   0.0   0.0
==== EXITED with rc 0 ====
==== END mpstat -a Tue Jul  7 13:15:13 CDT 2015 ====
