==== This output can be found in Systems/dx1010/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 13:15:13 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
 12   2844     20      1      1      0      0      0  96.7   0.0   0.0   3.3   0.0   0.0    106   3181 100.0   0.0   0.0
 13      5      0      0      0      0      0      0  85.3  14.7   0.0   0.0   0.0   0.0     28   1444 100.0   0.0   0.0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     22   1285 100.0   0.0   0.0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     20   1196 100.0   0.0   0.0
 16   2975     20      0      0      0      0      0  96.8   0.0   0.0   3.2   0.0   0.0    114   3331 100.0   0.0   0.0
 17     30      0      0      0      0      0      0  98.7   1.3   0.0   0.0   0.0   0.0     25   1414 100.0   0.0   0.0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     20   1266 100.0   0.0   0.0
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     16   1178 100.0   0.0   0.0
 20   3281     20      1      1      0      0      0  96.7   0.0   0.0   3.3   0.0   0.0    114   3505 100.0   0.0   0.0
 21     43      0      0      0      0      0      0  98.2   1.8   0.0   0.0   0.0   0.0     30   1455 100.0   0.0   0.0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     27   1281 100.0   0.0   0.0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0     22   1188 100.0   0.0   0.0
ALL  19294    118      2      2      0      0      0  96.8   0.1   0.0   3.1   0.0   0.0   1099  44240 100.0   0.0   0.0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Tue Jul  7 13:15:23 CDT 2015 ====
