==== This output can be found in Systems/dx975/os/lscfg.txt ====
==== START lscfg Tue Jul  7 12:46:25 CDT 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                           System Object
+ sysplanar0                                                                     System Planar
* vio0                                                                           Virtual I/O Bus
* vfchost8         U9179.MHD.21ADA1V-V1-C401                                     Virtual FC Server Adapter
* vfchost7         U9179.MHD.21ADA1V-V1-C324                                     Virtual FC Server Adapter
* vfchost6         U9179.MHD.21ADA1V-V1-C323                                     Virtual FC Server Adapter
* vfchost5         U9179.MHD.21ADA1V-V1-C322                                     Virtual FC Server Adapter
* vfchost4         U9179.MHD.21ADA1V-V1-C321                                     Virtual FC Server Adapter
* vhost39          U9179.MHD.21ADA1V-V1-C255                                     Virtual SCSI Server Adapter
* vhost38          U9179.MHD.21ADA1V-V1-C254                                     Virtual SCSI Server Adapter
* vhost37          U9179.MHD.21ADA1V-V1-C253                                     Virtual SCSI Server Adapter
* vhost36          U9179.MHD.21ADA1V-V1-C252                                     Virtual SCSI Server Adapter
* vhost35          U9179.MHD.21ADA1V-V1-C251                                     Virtual SCSI Server Adapter
* vhost34          U9179.MHD.21ADA1V-V1-C245                                     Virtual SCSI Server Adapter
* vhost33          U9179.MHD.21ADA1V-V1-C244                                     Virtual SCSI Server Adapter
* vhost32          U9179.MHD.21ADA1V-V1-C243                                     Virtual SCSI Server Adapter
* vhost31          U9179.MHD.21ADA1V-V1-C242                                     Virtual SCSI Server Adapter
* vhost30          U9179.MHD.21ADA1V-V1-C241                                     Virtual SCSI Server Adapter
* vhost29          U9179.MHD.21ADA1V-V1-C235                                     Virtual SCSI Server Adapter
* vhost28          U9179.MHD.21ADA1V-V1-C234                                     Virtual SCSI Server Adapter
* vhost27          U9179.MHD.21ADA1V-V1-C233                                     Virtual SCSI Server Adapter
* vhost26          U9179.MHD.21ADA1V-V1-C232                                     Virtual SCSI Server Adapter
* vhost25          U9179.MHD.21ADA1V-V1-C231                                     Virtual SCSI Server Adapter
* vfchost3         U9179.MHD.21ADA1V-V1-C311                                     Virtual FC Server Adapter
* vfchost2         U9179.MHD.21ADA1V-V1-C312                                     Virtual FC Server Adapter
* vhost4           U9179.MHD.21ADA1V-V1-C115                                     Virtual SCSI Server Adapter
* vhost3           U9179.MHD.21ADA1V-V1-C111                                     Virtual SCSI Server Adapter
* vhost14          U9179.MHD.21ADA1V-V1-C205                                     Virtual SCSI Server Adapter
* vhost13          U9179.MHD.21ADA1V-V1-C204                                     Virtual SCSI Server Adapter
* vhost12          U9179.MHD.21ADA1V-V1-C203                                     Virtual SCSI Server Adapter
* vhost11          U9179.MHD.21ADA1V-V1-C202                                     Virtual SCSI Server Adapter
* vhost10          U9179.MHD.21ADA1V-V1-C201                                     Virtual SCSI Server Adapter
* vhost9           U9179.MHD.21ADA1V-V1-C125                                     Virtual SCSI Server Adapter
* vhost8           U9179.MHD.21ADA1V-V1-C124                                     Virtual SCSI Server Adapter
* vhost7           U9179.MHD.21ADA1V-V1-C123                                     Virtual SCSI Server Adapter
* vhost6           U9179.MHD.21ADA1V-V1-C122                                     Virtual SCSI Server Adapter
* vhost5           U9179.MHD.21ADA1V-V1-C121                                     Virtual SCSI Server Adapter
* ent14            U9179.MHD.21ADA1V-V1-C10-T1                                   Virtual I/O Ethernet Adapter (l-lan)
* ent13            U9179.MHD.21ADA1V-V1-C9-T1                                    Virtual I/O Ethernet Adapter (l-lan)
* ent12            U9179.MHD.21ADA1V-V1-C8-T1                                    Virtual I/O Ethernet Adapter (l-lan)
* ent11            U9179.MHD.21ADA1V-V1-C7-T1                                    Virtual I/O Ethernet Adapter (l-lan)
* ent10            U9179.MHD.21ADA1V-V1-C6-T1                                    Virtual I/O Ethernet Adapter (l-lan)
* ent9             U9179.MHD.21ADA1V-V1-C5-T1                                    Virtual I/O Ethernet Adapter (l-lan)
* ent8             U9179.MHD.21ADA1V-V1-C4-T1                                    Virtual I/O Ethernet Adapter (l-lan)
* vhost2           U9179.MHD.21ADA1V-V1-C112                                     Virtual SCSI Server Adapter
* vhost1           U9179.MHD.21ADA1V-V1-C113                                     Virtual SCSI Server Adapter
* vhost0           U9179.MHD.21ADA1V-V1-C114                                     Virtual SCSI Server Adapter
* vfchost1         U9179.MHD.21ADA1V-V1-C313                                     Virtual FC Server Adapter
* vfchost0         U9179.MHD.21ADA1V-V1-C314                                     Virtual FC Server Adapter
* vsa0             U9179.MHD.21ADA1V-V1-C0                                       LPAR Virtual Serial Adapter
* vty0             U9179.MHD.21ADA1V-V1-C0-L0                                    Asynchronous Terminal
* pci7             U2C4E.001.DBJ0043-P2                                          PCI Express Bus
* pci16            U2C4E.001.DBJ0043-P2-C5                                       PCI Express Bus
* pci17            U2C4E.001.DBJ0043-P2-C5                                       PCI Express Bus
* pci18            U2C4E.001.DBJ0043-P2-C5                                       PCI Express Bus
+ fcs12            U2C4E.001.DBJ0043-P2-C5-T1                                    PCIe2 4-Port 8Gb FC Adapter (df1000f114100104)
* fcnet8           U2C4E.001.DBJ0043-P2-C5-T1                                    Fibre Channel Network Protocol Device
+ fscsi12          U2C4E.001.DBJ0043-P2-C5-T1                                    FC SCSI I/O Controller Protocol Device
* sfwcomm12        U2C4E.001.DBJ0043-P2-C5-T1-W0-L0                              Fibre Channel Storage Framework Comm
+ fcs13            U2C4E.001.DBJ0043-P2-C5-T2                                    PCIe2 4-Port 8Gb FC Adapter (df1000f114100104)
* fcnet9           U2C4E.001.DBJ0043-P2-C5-T2                                    Fibre Channel Network Protocol Device
+ fscsi13          U2C4E.001.DBJ0043-P2-C5-T2                                    FC SCSI I/O Controller Protocol Device
* hdisk170         U2C4E.001.DBJ0043-P2-C5-T2-W500009740834D534-L0               EMC Symmetrix FCP VRAID
* hdisk171         U2C4E.001.DBJ0043-P2-C5-T2-W500009740834D534-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk172         U2C4E.001.DBJ0043-P2-C5-T2-W500009740834D534-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk173         U2C4E.001.DBJ0043-P2-C5-T2-W500009740834D534-L3000000000000   EMC Symmetrix FCP VRAID
* hdiskpower13     U2C4E.001.DBJ0043-P2-C5-T2-L2                                 PowerPath Device
* hdiskpower14     U2C4E.001.DBJ0043-P2-C5-T2-L4                                 PowerPath Device
* hdiskpower15     U2C4E.001.DBJ0043-P2-C5-T2-L5                                 PowerPath Device
* sfwcomm13        U2C4E.001.DBJ0043-P2-C5-T2-W0-L0                              Fibre Channel Storage Framework Comm
* pci19            U2C4E.001.DBJ0043-P2-C5                                       PCI Express Bus
+ fcs14            U2C4E.001.DBJ0043-P2-C5-T3                                    PCIe2 4-Port 8Gb FC Adapter (df1000f114100104)
* fcnet10          U2C4E.001.DBJ0043-P2-C5-T3                                    Fibre Channel Network Protocol Device
+ fscsi14          U2C4E.001.DBJ0043-P2-C5-T3                                    FC SCSI I/O Controller Protocol Device
* sfwcomm14        U2C4E.001.DBJ0043-P2-C5-T3-W0-L0                              Fibre Channel Storage Framework Comm
+ fcs15            U2C4E.001.DBJ0043-P2-C5-T4                                    PCIe2 4-Port 8Gb FC Adapter (df1000f114100104)
* fcnet11          U2C4E.001.DBJ0043-P2-C5-T4                                    Fibre Channel Network Protocol Device
+ fscsi15          U2C4E.001.DBJ0043-P2-C5-T4                                    FC SCSI I/O Controller Protocol Device
* sfwcomm15        U2C4E.001.DBJ0043-P2-C5-T4-W0-L0                              Fibre Channel Storage Framework Comm
* pci6             U2C4E.001.DBJ0043-P2                                          PCI Express Bus
+ ent4             U2C4E.001.DBJ0043-P2-C6-T1                                    PCIe2 10GbE SFP+ SR 4-port Converged Network Adapter (df1020e214100f04)
+ ent5             U2C4E.001.DBJ0043-P2-C6-T2                                    PCIe2 10GbE SFP+ SR 4-port Converged Network Adapter (df1020e214100f04)
+ ent6             U2C4E.001.DBJ0043-P2-C6-T3                                    PCIe2 100/1000 Base-TX 4-port Converged Network Adapter (df1020e214103c04)
+ ent7             U2C4E.001.DBJ0043-P2-C6-T4                                    PCIe2 100/1000 Base-TX 4-port Converged Network Adapter (df1020e214103c04)
+ fcs10            U2C4E.001.DBJ0043-P2-C6-T1                                    PCIe2 10Gb 4-Port FCoE Adapter (df1060e214101004)
* fscsi10          U2C4E.001.DBJ0043-P2-C6-T1                                    FC SCSI I/O Controller Protocol Device
* sfwcomm10        U2C4E.001.DBJ0043-P2-C6-T1-W0-L0                              Fibre Channel Storage Framework Comm
+ fcs11            U2C4E.001.DBJ0043-P2-C6-T2                                    PCIe2 10Gb 4-Port FCoE Adapter (df1060e214101004)
* fscsi11          U2C4E.001.DBJ0043-P2-C6-T2                                    FC SCSI I/O Controller Protocol Device
* sfwcomm11        U2C4E.001.DBJ0043-P2-C6-T2-W0-L0                              Fibre Channel Storage Framework Comm
* pci5             U2C4E.001.DBJ0043-P2                                          PCI Express Bus
+ sissas2          U2C4E.001.DBJ0043-P2-C9-T2                                    PCI Express x8 Planar 3Gb SAS Adapter
* sas2             U2C4E.001.DBJ0043-P2-C9-T2                                    Controller SAS Protocol
* sfwcomm18                                                                      SAS Storage Framework Comm
+ ses3             U2C4E.001.DBJ0043-P2-C9-Y2                                    SAS Enclosure Services Device
+ ses4             U2C4E.001.DBJ0043-P2-C9-Y1                                    SAS Enclosure Services Device
+ pdisk1           U2C4E.001.DBJ0043-P2-C9-D4                                    Physical SAS Solid State Drive
* hdisk1           U2C4E.001.DBJ0043-P2-C9-T2-LFF0000-L0                         SAS RAID 0 SSD Array
* sata2            U2C4E.001.DBJ0043-P2-C9-T2                                    Controller SATA Protocol
* pci4             U2C4E.001.DBJ0043-P2                                          PCI Express Bus
