==== This output can be found in Systems/dx977/os/ps_auxw.txt ====
==== START ps auxw Tue Jul  7 00:09:50 GST 2015 ====
USER          PID %CPU %MEM   SZ  RSS    TTY STAT    STIME  TIME COMMAND
oracle   15533770  0.0  0.0 195772 167112      - A    23:42:19  0:03 oracleGSM (LOCAL=NO) 
root       917886  0.0  0.0  448  448      - A      Apr 01 248:54 wait
oracle   16908768  0.0  0.0 201212 172552      - A    02:11:10  2:17 oracleGSM (LOCAL=NO) 
oracle   16974458  0.0  0.0  448  448      - A    16:26:01  0:48 aioserver
oracle   55640100  0.0  0.0  448  448      - A    16:26:01  0:47 aioserver
oracle   57868812  0.0  0.0 198460 169800      - A    02:10:59  2:12 oracleGSM (LOCAL=NO) 
root            0  0.0  0.0  384  384      - A      Apr 01 229:46 swapper
oracle   12714414  0.0  0.0 259708 221576      - A      Apr 02 221:29 ora_arc3_GSM 
oracle    7012908  0.0  0.0 259708 216776      - A      Apr 02 219:52 ora_arc1_GSM 
oracle    8651006  0.0  0.0 259708 222536      - A      Apr 02 218:50 ora_arc2_GSM 
oracle   15204860  0.0  0.0 195388 166728      - A    23:48:48  0:02 oracleGSM (LOCAL=NO) 
oracle   33227450  0.0  0.0  448  448      - A    18:12:06  0:34 aioserver
oracle   53740236  0.0  0.0 195388 166728      - A    23:48:47  0:02 oracleGSM (LOCAL=NO) 
oracle   62718082  0.0  0.0 195388 166728      - A    23:48:46  0:02 oracleGSM (LOCAL=NO) 
oracle   33949190  0.0  0.0  448  448      - A    16:26:01  0:44 aioserver
oracle   10487324  0.0  0.0 195388 166728      - A    23:48:44  0:02 oracleGSM (LOCAL=NO) 
oracle   11207202  0.0  0.0 195388 166728      - A    23:48:42  0:02 oracleGSM (LOCAL=NO) 
oracle    4587698  0.0  0.0 195388 166728      - A    23:48:34  0:02 oracleGSM (LOCAL=NO) 
oracle   29098192  0.0  0.0 195388 166728      - A    23:48:33  0:02 oracleGSM (LOCAL=NO) 
oracle   10814196  0.0  0.0 195388 166728      - A    23:48:31  0:02 oracleGSM (LOCAL=NO) 
oracle   54920924  0.0  0.0 195388 166728      - A    23:48:30  0:02 oracleGSM (LOCAL=NO) 
oracle    3277970  0.0  0.0 195388 166728      - A    23:48:29  0:02 oracleGSM (LOCAL=NO) 
oracle   36897082  0.0  0.0 195388 166728      - A    23:48:26  0:02 oracleGSM (LOCAL=NO) 
oracle   14942868  0.0  0.0 195388 166728      - A    23:48:26  0:02 oracleGSM (LOCAL=NO) 
oracle   27984274  0.0  0.0 195388 166728      - A    23:48:26  0:02 oracleGSM (LOCAL=NO) 
oracle   35848324  0.0  0.0 195388 166728      - A    23:48:24  0:02 oracleGSM (LOCAL=NO) 
oracle   36701762  0.0  0.0 195388 166728      - A    23:48:22  0:02 oracleGSM (LOCAL=NO) 
oracle   15532392  0.0  0.0 195388 166728      - A    23:48:21  0:02 oracleGSM (LOCAL=NO) 
oracle    5047732  0.0  0.0 195388 166728      - A    23:48:20  0:02 oracleGSM (LOCAL=NO) 
oracle   20643860  0.0  0.0 195388 166728      - A    23:48:18  0:02 oracleGSM (LOCAL=NO) 
oracle   56164614  0.0  0.0 195388 166728      - A    23:48:17  0:02 oracleGSM (LOCAL=NO) 
oracle   45613106  0.0  0.0 195388 166728      - A    23:48:17  0:02 oracleGSM (LOCAL=NO) 
oracle   17957408  0.0  0.0 195388 166728      - A    23:48:14  0:02 oracleGSM (LOCAL=NO) 
oracle   41026242  0.0  0.0 198332 169672      - A    02:11:05  2:02 oracleGSM (LOCAL=NO) 
oracle   51380704  0.0  0.0 195388 166728      - A    23:48:12  0:02 oracleGSM (LOCAL=NO) 
oracle   31261396  0.0  0.0 195388 166728      - A    23:48:12  0:02 oracleGSM (LOCAL=NO) 
oracle   14156340  0.0  0.0 195388 166728      - A    23:48:11  0:02 oracleGSM (LOCAL=NO) 
oracle   11403806  0.0  0.0 195388 166728      - A    23:48:09  0:02 oracleGSM (LOCAL=NO) 
oracle   17761102  0.0  0.0 195388 166728      - A    23:48:07  0:02 oracleGSM (LOCAL=NO) 
oracle   39978580  0.0  0.0 195388 166728      - A    23:48:06  0:02 oracleGSM (LOCAL=NO) 
oracle   52168212  0.0  0.0 198140 169480      - A    06:57:15  1:35 ora_p015_GSM 
oracle   13371040  0.0  0.0 195388 166728      - A    23:48:04  0:02 oracleGSM (LOCAL=NO) 
oracle    9963250  0.0  0.0 195388 166728      - A    23:48:03  0:02 oracleGSM (LOCAL=NO) 
oracle   35914322  0.0  0.0 195388 166728      - A    23:48:02  0:02 oracleGSM (LOCAL=NO) 
oracle   33030364  0.0  0.0 195388 166728      - A    23:48:00  0:02 oracleGSM (LOCAL=NO) 
oracle    4391532  0.0  0.0 195388 166728      - A    23:47:55  0:02 oracleGSM (LOCAL=NO) 
oracle    7931242  0.0  0.0 195388 166728      - A    23:47:53  0:02 oracleGSM (LOCAL=NO) 
oracle    3802122  0.0  0.0 195388 166728      - A    23:47:52  0:02 oracleGSM (LOCAL=NO) 
oracle   19792932  0.0  0.0 195388 166728      - A    23:47:51  0:02 oracleGSM (LOCAL=NO) 
oracle   39452956  0.0  0.0 195388 166728      - A    23:47:50  0:02 oracleGSM (LOCAL=NO) 
oracle   12190736  0.0  0.0 195388 166728      - A    23:47:48  0:02 oracleGSM (LOCAL=NO) 
oracle   41746666  0.0  0.0 195388 166728      - A    23:47:46  0:02 oracleGSM (LOCAL=NO) 
oracle   12059140  0.0  0.0 195388 166728      - A    23:47:45  0:02 oracleGSM (LOCAL=NO) 
oracle   29360380  0.0  0.0 237596 237656      - A      Jun 30 13:56 /gsm_base/app/oracle/product/11.2.0/dbhome_1/jdk/bin/java -Xmx384M
