==== This output can be found in Systems/dx977/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Tue Jul  7 00:10:21 GST 2015 ====
516A2BC4   0508035115 P H hdisk161       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk159       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk92        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk151       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk86        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk169       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk84        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk98        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk153       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk104       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk88        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk97        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk178       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk89        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk163       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk167       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk150       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk160       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk635       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk645       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk99        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk166       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk93        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk0         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk5         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk3         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk195       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk136       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk185       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk125       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk589       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk690       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk212       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk120       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk186       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk139       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk209       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk143       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk215       CONNECTION FAILURE
