==== This output can be found in Systems/dx979/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 00:32:42 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
 31      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 32      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0      0 100.0   0.0   0.0     0
 33      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 34      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 35      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 36      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1     27   0.0 100.0   0.0     0
 37      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 38      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 39      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 40      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0      0   0.0 100.0   0.0     0
 41      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 42      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 43      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 44      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0    208 100.0   0.0   0.0     0
 45      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 46      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 47      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
ALL   3453   1076      2      4      0     18     74  97.9   0.3   0.0   1.6   0.0   0.3      7   3191  95.2   4.8   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Tue Jul  7 00:32:52 GST 2015 ====
