==== This output can be found in Systems/dx986/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 00:49:04 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
 28    0    0    0  151    0    0    0    1   0    0  0 80  0 20 0.00  0.0  151
 29    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
 30    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
 31    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
ALL 15091  452    0 3142 2287  399    2  711 100 975501 40 23  1 37 1.74 48.4 3756
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 9885  518    0  718 2605 1255    4  360  98 105263 60 39  1  0 0.40  0.0  851
  1    0    0    0  189    0    0    0    3 100    0  3  3  1 93 0.08  0.0  188
  2    0    0    0  187    0    0    0    3 100    0  0  2  0 98 0.08  0.0  187
  3    0    0    0  185    0    0    0    1 100    0  0  2  0 98 0.08  0.0  185
  4    0    0    0   29    0    0    0    0   -    0  0 77  0 23 0.00  0.0   28
  5    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
  6    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
  7    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
  8 7211    0    0  404  452  216    3  346  86 761341 63 36  0  0 0.51  0.0  189
  9  108    0    0  223   38   27    0   16 100 4338 14  4  1 81 0.11  0.0  221
 10    0    0    0  188    0    0    0    2 100    0  0  2  0 98 0.09  0.0  188
 11    0    0    0  186    0    0    0    3 100    0  0  2  0 98 0.09  0.0  186
 12    0    0    0    2    0    0    0    0   -    0  0 38  0 62 0.00  0.0    1
 13    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 14    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 15    0    0    0    0    0    0    0    0   -    0  0  7  0 93 0.00  0.0    0
 16    0    0    0   14    0    0    0    0   -    0  0 78  0 22 0.00  0.0   13
 17    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 18    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 19    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 20    0    0    0    2    0    0    0    0   -    0  0 44  0 56 0.00  0.0    1
 21    0    0    0    0    0    0    0    0   -    0  0  3  0 97 0.00  0.0    0
 22    0    0    0    0    0    0    0    0   -    0  0  4  0 96 0.00  0.0    0
 23    0    0    0    0    0    0    0    0   -    0  0  5  0 95 0.00  0.0    0
 24    0    0    0    2    0    0    0    0   -    0  0 60  0 40 0.00  0.0    1
 25    0    0    0    0    0    0    0    0   -    0  0  2  0 98 0.00  0.0    0
 26    0    0    0    0    0    0    0    0   -    0  0  2  0 98 0.00  0.0    0
 27    0    0    0    0    0    0    0    0   -    0  0  2  0 98 0.00  0.0    0
 28    0    0    0  197    0    0    0    0   -    0  0 80  0 20 0.00  0.0  197
 29    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 30    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 31    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
ALL 17204  518    0 2526 3095 1498    7  734   0 870942 40 25  1 35 1.45 40.2 2436
==== EXITED with rc 0 ====
==== END mpstat 5 2 Tue Jul  7 00:49:14 GST 2015 ====
