==== This output can be found in Systems/dx1011/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 13:39:59 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0    407 100.0   0.0   0.0
 20    224      4      0      0      0      0      0  96.3   0.1   0.0   3.6   0.0   0.0     11    709 100.0   0.0   0.0
 21      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    445 100.0   0.0   0.0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    425 100.0   0.0   0.0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1    410 100.0   0.0   0.0
ALL   1220     45      2      2      0      0      0  96.0   0.3   0.0   3.7   0.0   0.0    142  11473 100.0   0.0   0.0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0    180      8      1      1      0      0      0  97.9   0.0   0.0   2.1   0.0   0.0     19    514 100.0   0.0   0.0
  1      0      0      0      0      0      0      0     -     -     -     -     -     -      3    357     -     -     -
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      2    346     -     -     -
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      1    329     -     -     -
  4    174      4      0      0      0      0      0  96.2   0.0   0.0   3.8   0.0   0.0     13    548 100.0   0.0   0.0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      2    355     -     -     -
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      0    340     -     -     -
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      0    330     -     -     -
  8    197      3      0      0      0      0      0  96.7   0.0   0.0   3.3   0.0   0.0     12    587 100.0   0.0   0.0
  9      0      0      0      0      0      0      0     -     -     -     -     -     -      0    353     -     -     -
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      1    335     -     -     -
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      1    324     -     -     -
 12    133      5      0      0      0      0      0  95.8   0.0   0.0   4.2   0.0   0.0     17    507 100.0   0.0   0.0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      3    354     -     -     -
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      1    340     -     -     -
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      1    329     -     -     -
 16    127      7      0      0      0      0      0  95.7   0.0   0.0   4.3   0.0   0.0     20    396 100.0   0.0   0.0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      3    358     -     -     -
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      3    344     -     -     -
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      1    334     -     -     -
 20    251      3      1      2      0      0      0  97.2   0.0   0.0   2.8   0.0   0.0     11    636 100.0   0.0   0.0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      1    354     -     -     -
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0    339     -     -     -
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      0    327     -     -     -
ALL   1062     30      2      3      0      0      0  96.7   0.0   0.0   3.3   0.0   0.0    115   9336 100.0   0.0   0.0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Tue Jul  7 13:40:09 CDT 2015 ====
