==== This output can be found in Systems/dx987/network/netstat-m.txt ====
==== START netstat -m Tue Jul  7 00:01:08 GST 2015 ====

Kernel malloc statistics:

******* CPU 0 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
512                   9     32241      0         3      39  198650       0
1024                  4     11738      0        40     156   47676       0
2048                  6       726      0        10      16  119190       0
4096                  0       110      0         4       2    7946       0
8192                  0        20      0         2       5    1986       0
16384                 0        44      0         7      18     993       0
32768                 2        29      0         7      15     496       0
65536                 0         8      0         3       4     496       0
131072                0         7      0         0      18      32       0


******* CPU 21 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
256                   0         3      0         1      16   95352       0
512                   0      4688      0         0       8  198650       0
2048                  0         1      0         1       2  119190       0
4096                  0         1      0         0      29    7946       0
131072                0         0      0         0      16      32       0


******* CPU 22 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0         2      0         0      64   63568       0
128                   0         2      0         0      32   47676       0
512                   0      4555      0         0      16  198650       0
2048                  0         2      0         0       2  119190       0
4096                  0         0      0         0      27    7946       0
131072                0         0      0         0      16      32       0


******* CPU 23 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0         1      0         0      64   63568       0
512                   0      4569      0         0      16  198650       0
2048                  0         1      0         0       2  119190       0
4096                  0         0      0         0      28    7946       0
131072                0         0      0         0      16      32       0


******* CPU 24 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                   27     15005      0         4     229   63568       0
128                  15  10406089      0         1     209   47676       0
256                4105      4826      0       258      39   95352       0
512                4182  14837992      0       515      50  198650       0
1024                 16     12320      0        50     192   47676       0
2048               4106      6862      0      2061      24  119190       0
4096                  1       222      0         7       3    7946       0
8192                  0        38      0         3       4    1986       0
16384                 0        29      0         6      18     993       0
32768                 0        12      0         3       5     496       0
65536                 0        14      0         4       4     496       0
131072                0         5      0         0     626    1241       0


******* CPU 25 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0        15      0         1      64   63568       0
512                   0      4159      0         0      16  198650       0
1024                  0        11      0         3      12   47676       0
2048                  0         4      0         2       4  119190       0
4096                  0         0      0         0      24    7946       0
131072                0         0      0         0      16      32       0


******* CPU 26 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
512                   0      3919      0         0       8  198650       0
4096                  0         0      0         0      31    7946       0
131072                0         0      0         0      16      32       0


******* CPU 27 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
512                   0      3804      0         0       8  198650       0
4096                  0         0      0         0      31    7946       0
131072                0         0      0         0      16      32       0


******* CPU 28 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    5      6237      0         2     123   63568       0
128                   5      5559      0         0     123   47676       0
256                   0       700      0         1      32   95352       0
512                   3     16917      0         3      37  198650       0
1024                  5      5633      0        31     119   47676       0
2048                  1       640      0         5      27  119190       0
4096                  0       226      0         3       4    7946       0
8192                  0        10      0         1       1    1986       0
16384                 0        18      0         5      18     993       0
32768                 0         3      0         1       1     496       0
65536                 0         3      0         2       3     496       0
131072                0         3      0         0      19      32       0


******* CPU 29 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
512                   0      3588      0         0       8  198650       0
4096                  0         0      0         0      31    7946       0
131072                0         0      0         0      16      32       0


******* CPU 30 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0         1      0         0      64   63568       0
512                   0      3278      0         0       8  198650       0
2048                  0         1      0         0       2  119190       0
4096                  0         0      0         0      29    7946       0
131072                0         0      0         0      16      32       0


******* CPU 31 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0         4      0         0      64   63568       0
128                   0         2      0         0      32   47676       0
512                   0      3511      0         0      16  198650       0
