==== This output can be found in Systems/dx980/os/iostat-^A.txt ====
==== START iostat -A Mon Jul  6 23:13:03 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      0.0  0.0   790     0    131072             0.0   0.1   99.8      0.0   0.0    0.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk384         0.0       0.0       0.0       3094     27924
hdisk385         0.0       0.0       0.0       1158     32216
hdisk388         0.0       0.0       0.0       3810         0
hdisk386         0.0       0.0       0.0       3314        24
hdisk379         0.0       0.0       0.0       1063     32396
hdisk381         0.0       0.0       0.0        924        12
hdisk378         0.0       0.0       0.0       1053     74752
hdisk380         0.0       0.0       0.0       2070         8
hdisk377         0.0       0.0       0.0       1052    102408
hdisk389         0.0       0.0       0.0       1145         0
hdisk391         0.0       0.0       0.0       1146         0
hdisk392         0.0       0.0       0.0       1147         0
hdisk387         0.0       0.0       0.0        946         0
hdisk390         0.0       0.0       0.0       1146         0
hdisk393         0.0       0.0       0.0       1145         0
hdisk396         0.0       0.0       0.0       1146         0
hdisk399         0.0       0.0       0.0       1689       164
hdisk395         0.0       0.0       0.0       1147         0
hdisk397         0.0       0.0       0.0       4440       140

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk9           0.0       0.0       0.0        791         0
hdisk398         0.0       0.0       0.0       6560      5724
hdisk10          0.0       0.1       0.0     357775    145920
hdisk394         0.0       0.0       0.0       1157        16
hdisk15          0.0       0.0       0.0      32948       744
hdisk7           0.0       0.6       0.1       5561   4718388
hdisk23          0.0       0.0       0.0        934        28
hdisk22          0.0       0.0       0.0       2352         4
hdisk400         0.0       1.4       0.0   10166655      2244
hdisk410         0.0       1.8       0.0   12963108      4648
hdisk401         0.0       1.4       0.0   10275236      2744
hdisk402         0.0       1.8       0.0   13620788      3824
hdisk403         0.0       1.3       0.0    9494076      6600
hdisk404         0.0       2.9       0.0   21386780      4120
hdisk407         0.0       1.4       0.0    9951005       536
hdisk405         0.0       1.5       0.0   11029260      3156
hdisk413         0.0       1.8       0.0   13531764      2456
hdisk414         0.0       2.2       0.0   16103952      1408
hdisk411         0.0       1.4       0.0   10254624       456
hdisk412         0.0       1.7       0.0   12751524      2176
hdisk408         0.0       1.2       0.0    8794692       560
hdisk409         0.0       1.4       0.0   10518104      2624
