==== This output can be found in Systems/dx978/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Mon Jul  6 23:29:55 GST 2015 ====
516A2BC4   0508035115 P H hdisk542       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk295       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk484       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk283       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk485       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk297       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk486       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk298       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk487       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk301       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk488       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk359       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk489       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk3         DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk302       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk490       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk5         DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk11        DISK OPERATION ERROR
516A2BC4   0508024415 P H hdisk620       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk77        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk18        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk561       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk621       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk78        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk734       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk728       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk622       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk37        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk640       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk97        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk79        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk623       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk7         CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk554       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk80        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk619       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk67        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk626       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk76        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk627       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk83        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk628       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk84        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk629       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk630       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk85        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk631       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk86        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk87        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk580       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk88        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk562       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk19        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk556       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk10        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk558       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk13        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk559       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk15        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk563       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk20        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk566       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk624       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk81        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk23        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk567       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk24        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk568       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk625       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk82        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk632       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk89        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk633       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk90        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk25        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk569       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk26        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk570       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk634       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk91        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk635       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk92        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk27        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk571       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk28        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk572       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk29        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk573       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk30        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk574       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk31        CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk575       CONNECTION FAILURE
