==== This output can be found in Systems/dx978/os/lscfg.txt ====
==== START lscfg Mon Jul  6 23:30:06 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk70          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L3D000000000000  EMC Symmetrix FCP VRAID
* hdisk71          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L3E000000000000  EMC Symmetrix FCP VRAID
* hdisk72          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L3F000000000000  EMC Symmetrix FCP VRAID
* hdisk73          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L40000000000000  EMC Symmetrix FCP VRAID
* hdisk74          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L41000000000000  EMC Symmetrix FCP VRAID
* hdisk75          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L42000000000000  EMC Symmetrix FCP VRAID
* hdisk76          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L43000000000000  EMC Symmetrix FCP VRAID
* hdisk77          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L44000000000000  EMC Symmetrix FCP VRAID
* hdisk78          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L45000000000000  EMC Symmetrix FCP VRAID
* hdisk79          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L46000000000000  EMC Symmetrix FCP VRAID
* hdisk80          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L47000000000000  EMC Symmetrix FCP VRAID
* hdisk81          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L48000000000000  EMC Symmetrix FCP VRAID
* hdisk82          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L49000000000000  EMC Symmetrix FCP VRAID
* hdisk83          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L4E000000000000  EMC Symmetrix FCP VRAID
* hdisk84          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L4F000000000000  EMC Symmetrix FCP VRAID
* hdisk85          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L50000000000000  EMC Symmetrix FCP VRAID
* hdisk86          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L51000000000000  EMC Symmetrix FCP VRAID
* hdisk87          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L52000000000000  EMC Symmetrix FCP VRAID
* hdisk88          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L53000000000000  EMC Symmetrix FCP VRAID
* hdisk89          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L54000000000000  EMC Symmetrix FCP VRAID
* hdisk90          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L55000000000000  EMC Symmetrix FCP VRAID
* hdisk91          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L56000000000000  EMC Symmetrix FCP VRAID
* hdisk92          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L57000000000000  EMC Symmetrix FCP VRAID
* hdisk93          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L58000000000000  EMC Symmetrix FCP VRAID
* hdisk94          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L59000000000000  EMC Symmetrix FCP VRAID
* hdisk95          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L5A000000000000  EMC Symmetrix FCP VRAID
* hdisk96          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L5B000000000000  EMC Symmetrix FCP VRAID
* hdisk97          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-L5C000000000000  EMC Symmetrix FCP VRAID
* hdisk98          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk99          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk100         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L4000000000000   EMC Symmetrix FCP VRAID
* hdisk101         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk102         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L6000000000000   EMC Symmetrix FCP VRAID
* hdisk103         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L7000000000000   EMC Symmetrix FCP VRAID
* hdisk104         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L8000000000000   EMC Symmetrix FCP VRAID
* hdisk105         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L9000000000000   EMC Symmetrix FCP VRAID
* hdisk106         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-LA000000000000   EMC Symmetrix FCP VRAID
* hdisk107         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-LB000000000000   EMC Symmetrix FCP VRAID
* hdisk108         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-LC000000000000   EMC Symmetrix FCP VRAID
* hdisk109         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-LD000000000000   EMC Symmetrix FCP VRAID
* hdisk110         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-LE000000000000   EMC Symmetrix FCP VRAID
* hdisk111         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-LF000000000000   EMC Symmetrix FCP VRAID
* hdisk112         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L10000000000000  EMC Symmetrix FCP VRAID
