==== This output can be found in Systems/dx987/os/errpt.txt ====
==== START errpt Mon Jul  6 23:48:29 GST 2015 ====
516A2BC4   0508024315 P H hdisk500       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk465       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk501       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk466       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk502       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk467       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk503       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk468       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk504       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk469       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk505       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk580       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk600       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk581       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk601       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk582       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk602       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk583       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk603       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk584       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk604       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk159       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk259       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk160       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk260       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk585       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk605       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk586       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk606       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk587       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk607       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk588       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk608       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk589       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk609       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk166       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk266       CONNECTION FAILURE
516A2BC4   0508024315 P H hdisk2         CONNECTION FAILURE
