==== This output can be found in Systems/dx1011/storage/for_i_in_lspv_awk_print_1_do_echo_i,_Disk_size_get.txt ====
==== START for i in $(lspv | awk '{print $1}') ;do echo "$i, Disk size: $(getconf DISK_SIZE /dev/$i), Disk partition: $(getconf DISK_PARTITION /dev/$i), Disk location: $(getconf DISK_DEVNAME $i)"; done Tue Jul  7 13:40:41 CDT 2015 ====
hdisk647, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk648, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk649, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk650, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk651, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk652, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk653, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk654, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk655, Disk size: 102405, Disk partition: 128, Disk location: 09-01-02
hdisk656, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk657, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk658, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk659, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk660, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk661, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk662, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk663, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk664, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk665, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk666, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk667, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk668, Disk size: 2097180, Disk partition: 4096, Disk location: 09-01-02
hdisk669, Disk size: 1048590, Disk partition: 2048, Disk location: 09-01-02
hdisk670, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk671, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk672, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk673, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk674, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk675, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk676, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk677, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk678, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk679, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk680, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk681, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk682, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk683, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk684, Disk size: 1048582, Disk partition: 2048, Disk location: 09-01-02
hdisk685, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk686, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk687, Disk size: 102405, Disk partition: 128, Disk location: 09-01-02
hdisk688, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk689, Disk size: 51202, Disk partition: 64, Disk location: 09-01-02
hdisk690, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk691, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk692, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk693, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk694, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk695, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk696, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk697, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk698, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk699, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk700, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk701, Disk size: 1048590, Disk partition: 2048, Disk location: 0I-00-02
hdisk702, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk703, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk704, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk705, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk706, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk707, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk708, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk709, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk710, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk711, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk712, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk713, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk714, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk715, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk716, Disk size: 1048582, Disk partition: 2048, Disk location: 0I-00-02
hdisk717, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk718, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk719, Disk size: 102405, Disk partition: 128, Disk location: 0I-00-02
hdisk720, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk721, Disk size: 51202, Disk partition: 64, Disk location: 0I-00-02
hdisk722, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk723, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk724, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk725, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
hdisk726, Disk size: 2097180, Disk partition: 4096, Disk location: 0I-00-02
