==== This output can be found in Systems/dx1011/storage/lspath-^H.txt ====
==== START lspath -H Tue Jul  7 13:42:40 CDT 2015 ====
status    name     parent
Enabled   hdisk567 fscsi5
Enabled   hdisk229 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk295 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk283 fscsi9
Enabled   hdisk284 fscsi9
Enabled   hdisk285 fscsi9
Enabled   hdisk286 fscsi9
Enabled   hdisk287 fscsi9
Enabled   hdisk288 fscsi9
Enabled   hdisk289 fscsi9
Enabled   hdisk290 fscsi9
Enabled   hdisk291 fscsi9
Enabled   hdisk292 fscsi9
Enabled   hdisk293 fscsi9
Enabled   hdisk294 fscsi9
Enabled   hdisk296 fscsi5
Enabled   hdisk299 fscsi5
Enabled   hdisk297 fscsi9
Enabled   hdisk298 fscsi9
Enabled   hdisk565 fscsi5
Enabled   hdisk301 fscsi9
Enabled   hdisk302 fscsi9
Enabled   hdisk303 fscsi9
Enabled   hdisk304 fscsi9
Enabled   hdisk305 fscsi9
Enabled   hdisk352 fscsi8
Enabled   hdisk353 fscsi8
Enabled   hdisk354 fscsi8
Enabled   hdisk355 fscsi8
Enabled   hdisk356 fscsi8
Enabled   hdisk357 fscsi8
Enabled   hdisk358 fscsi8
Enabled   hdisk359 fscsi8
Enabled   hdisk360 fscsi8
Enabled   hdisk361 fscsi8
Enabled   hdisk620 fscsi8
Enabled   hdisk621 fscsi8
Enabled   hdisk622 fscsi8
Enabled   hdisk623 fscsi8
Enabled   hdisk570 fscsi8
Enabled   hdisk571 fscsi8
Enabled   hdisk572 fscsi8
Enabled   hdisk573 fscsi8
Enabled   hdisk574 fscsi8
Enabled   hdisk575 fscsi8
Enabled   hdisk576 fscsi8
Enabled   hdisk577 fscsi8
Enabled   hdisk578 fscsi8
Enabled   hdisk579 fscsi8
Enabled   hdisk580 fscsi8
Enabled   hdisk581 fscsi8
Enabled   hdisk582 fscsi8
Enabled   hdisk583 fscsi8
Enabled   hdisk584 fscsi8
Enabled   hdisk585 fscsi8
Enabled   hdisk586 fscsi8
Enabled   hdisk587 fscsi8
Enabled   hdisk588 fscsi8
Enabled   hdisk589 fscsi8
Enabled   hdisk590 fscsi8
Enabled   hdisk591 fscsi8
Enabled   hdisk592 fscsi8
Enabled   hdisk593 fscsi8
Enabled   hdisk594 fscsi8
Enabled   hdisk595 fscsi8
Enabled   hdisk596 fscsi8
Enabled   hdisk597 fscsi8
Enabled   hdisk598 fscsi8
Enabled   hdisk599 fscsi8
Enabled   hdisk600 fscsi8
Enabled   hdisk601 fscsi8
Enabled   hdisk602 fscsi8
Enabled   hdisk603 fscsi8
Enabled   hdisk306 fscsi5
Enabled   hdisk307 fscsi5
Enabled   hdisk308 fscsi5
Enabled   hdisk309 fscsi5
Enabled   hdisk310 fscsi5
Enabled   hdisk311 fscsi5
Enabled   hdisk306 fscsi5
Enabled   hdisk307 fscsi5
Enabled   hdisk308 fscsi5
Enabled   hdisk309 fscsi5
Enabled   hdisk310 fscsi5
Enabled   hdisk311 fscsi5
Enabled   hdisk306 fscsi5
Enabled   hdisk307 fscsi5
Enabled   hdisk308 fscsi5
Enabled   hdisk309 fscsi5
Enabled   hdisk310 fscsi5
Enabled   hdisk311 fscsi5
Enabled   hdisk306 fscsi5
Enabled   hdisk307 fscsi5
